"Level_1"	"Level_2"	"Level_3"	"Level_4"	"Level_5"	"Level_6"	"Level_7"	"B281"	"B282"	"B283"	"GA281"	"GA282"	"GA283"	"GP281"	"GP282"	"GP283"	"GT281"	"GT282"	"GT283"	"Z281"	"Z282"	"Z283"
"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__MND1"	"Unclassified"	"Unclassified"	"Unclassified"	12.3603831804015	13.1008294008508	11.9648647236956	11.2504581397844	10.9165202910908	11.7080105874537	11.1838745104788	11.5296756511463	10.9072991547531	12.0835102644814	12.2069229795409	12.8085395225734	11.7328726755448	11.8665569222153	11.5843382112054
"k__Bacteria"	"p__Chloroflexi"	"c__TK17"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	12.1780616236076	12.6212563205889	10.7921444628737	9.44034953188812	10.811159775433	10.7094817573426	10.6085103655753	11.7528192024605	10.9072991547531	10.7397755177803	11.4492372778434	12.1153923420135	10.5090972439226	11.4756906135283	9.79257874197734
"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"Unclassified"	"Unclassified"	"Unclassified"	12.5610538758637	13.9881325958517	11.9407671721165	10.6104207845384	11.946139708272	10.437548041859	9.50989807690714	13.4014778280479	10.9072991547531	12.3492134302144	10.820628618421	12.2977138988074	11.251034588652	10.419637939279	12.0612622832957
"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	11.6672359998416	12.0022171121826	10.8662524350275	9.44034953188812	10.4056946673249	9.05125368073906	10.4907273299189	11.7528192024605	11.1304427060673	9.64116322911216	9.83979936540927	10.5059544295794	9.59280651204848	10.2861065466545	10.4857259225373
"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"Unclassified"	"Unclassified"	12.6480652528533	13.9064545648374	11.4052489357601	10.7396325160184	12.7570699244883	10.9230558576407	11.5467800041682	13.7809674497528	13.0763528551226	11.9925384862756	12.0733915869164	14.7106470489703	11.4646086889501	11.5182502279471	12.0612622832957
"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	"Unclassified"	"Unclassified"	13.644398692401	14.916119367489	12.5038612244283	10.7396325160184	12.8480417026941	11.0322551496056	11.8452729927242	14.697258181627	13.3496461901223	14.2807348418176	13.3855779758825	15.5685494626063	11.4646086889501	12.0290758517131	12.6829504998735
"k__Bacteria"	"p__Planctomycetes"	"c__Phycisphaerae"	"o__WD2101"	"Unclassified"	"Unclassified"	"Unclassified"	10.1631586030653	-6.06178868783098	-7.89090054554612	-8.87497069640641	-7.50416045286152	-8.45313633133915	-7.70680986271929	-5.97471436093189	-6.59709085732508	8.94801604855221	-7.37690857421716	-5.61214122137896	-7.91158350002973	-7.77789925335918	9.38711363386918
"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"Unclassified"	"Unclassified"	"Unclassified"	12.5610538758637	13.9275079740352	11.7237026668787	10.5753294647271	11.7049776514551	10.7560017729775	11.9376463128552	14.3480739094174	13.3051944275515	12.1668918734204	12.0733915869164	14.5490056974139	11.4646086889501	12.3475295828316	12.4781560872275
"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	"Unclassified"	"Unclassified"	"Unclassified"	12.1780616236076	12.1357485048072	10.999783827652	10.2876473922753	11.6584576358202	10.6093982987856	10.4907273299189	10.8365284705864	10.2141519741932	10.8939261976075	11.4492372778434	12.1153923420135	11.2975546042869	9.03334357815909	10.4857259225373
"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	"Unclassified"	"Unclassified"	11.7725965154994	11.8480664323554	9.32580739408031	7.93627213511185	10.0002295592167	-8.45313633133915	9.79758014935892	11.7528192024605	11.1304427060673	9.64116322911216	-7.37690857421716	11.1991016101393	9.81595006336269	9.03334357815909	8.69396645330923
"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__Flavisolibacter"	"Unclassified"	12.4657436960594	14.4383335978012	11.6929310082119	11.1749505872762	12.9446685383831	11.3285209657488	11.3557247674055	14.1687329807616	12.6990586239812	12.5589339611964	13.5614686423462	15.6417528666296	11.150951130095	10.6427814905932	12.1904740147757
"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__Nocardioides"	"Unclassified"	13.0809293351496	14.3603720563315	11.8647812651386	10.3341674079102	12.015132579759	11.7424967635249	12.0748474343687	13.2344237433847	12.7398806185014	12.1668918734204	12.3521049893854	13.8381589397546	11.2975546042869	12.2720220303235	12.2774853917653
"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"Unclassified"	"Unclassified"	"Unclassified"	13.1835834892097	13.8175070788209	11.9883952211058	11.213416868104	12.140295722713	11.6162030382006	11.7071226542434	13.5445786716886	12.6564990095624	12.2061125865737	12.4547591434455	12.9908610793674	12.2495634187631	12.7710131964425	12.1904740147757
"k__Bacteria"	"p__Verrucomicrobia"	"c__Opitutae"	"o__Opitutales"	"f__Opitutaceae"	"g__Opitutus"	"Unclassified"	11.6672359998416	12.6953642927426	10.7121017552002	9.18903510360722	11.0988418478848	10.0628545924175	10.2030452574671	12.6282879398144	12.4113765515294	10.3343104096721	10.1274814378611	11.6045667182475	-7.91158350002973	9.72649075871903	10.6398766023645
"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"Unclassified"	"Unclassified"	11.6672359998416	11.8480664323554	9.8366330178463	9.80807431201344	10.9165202910908	9.74440086129901	10.896192438027	11.2419935786945	11.4669149426886	10.7397755177803	11.3061364342027	11.6045667182475	11.150951130095	10.5374209749354	9.38711363386918
